observation_date,ASCMA
2000-01-01,1086111
2000-04-01,1116557
2000-07-01,1138558
2000-10-01,1166539
2001-01-01,1147919
2001-04-01,1170485
2001-07-01,1208164
2001-10-01,1252540
2002-01-01,1267212
2002-04-01,1295314
2002-07-01,1323173
2002-10-01,1359121
2003-01-01,1382159
2003-04-01,1416080
2003-07-01,1452687
2003-10-01,1480816
2004-01-01,1526386
2004-04-01,1565420
2004-07-01,1613783
2004-10-01,1671089
2005-01-01,1707951
2005-04-01,1772639
2005-07-01,1831285
2005-10-01,1908284
2006-01-01,1975596
2006-04-01,2038672
2006-07-01,2111959
2006-10-01,2195330
2007-01-01,2239276
2007-04-01,2316245
2007-07-01,2402922
2007-10-01,2462573
2008-01-01,2507031
2008-04-01,2546845
2008-07-01,2559080
2008-10-01,2582174
2009-01-01,2577973
2009-04-01,2563571
2009-07-01,2540006
2009-10-01,2506919
2010-01-01,2485144
2010-04-01,2438708
2010-07-01,2400329
2010-10-01,2383833
2011-01-01,2358637
2011-04-01,2327681
2011-07-01,2299251
2011-10-01,2287946
2012-01-01,2269056
2012-04-01,2249264
2012-07-01,2238857
2012-10-01,2251808
2013-01-01,2248734
2013-04-01,2271095
2013-07-01,2287344
2013-10-01,2293441
2014-01-01,2305119
2014-04-01,2326609
2014-07-01,2349123
2014-10-01,2381713
2015-01-01,2406834
2015-04-01,2445693
2015-07-01,2478886
2015-10-01,2519857
2016-01-01,2538771
2016-04-01,2564897
2016-07-01,2609786
2016-10-01,2638660
2017-01-01,2653290
2017-04-01,2694676
2017-07-01,2713773
2017-10-01,2766856
2018-01-01,2793189
2018-04-01,2844956
2018-07-01,2853688
2018-10-01,2889660
2019-01-01,2921986
2019-04-01,2945991
2019-07-01,2994142
2019-10-01,3030406
2020-01-01,3073520
2020-04-01,3098820
2020-07-01,3125859
2020-10-01,3164277
2021-01-01,3183871
2021-04-01,3222197
2021-07-01,3275036
2021-10-01,3374850
2022-01-01,3438037
2022-04-01,3532357
2022-07-01,3586064
2022-10-01,3641161
2023-01-01,3686225
2023-04-01,3710802
2023-07-01,3736667
2023-10-01,3761196
2024-01-01,3783601
2024-04-01,3793932
2024-07-01,3813202
